Date,price
11/20/20,269.700012
11/19/20,272.940002
11/18/20,271.970001
11/17/20,275
11/16/20,278.959991
11/13/20,276.950012
11/12/20,275.079987
11/11/20,276.480011
11/10/20,272.429993
11/9/20,278.769989
11/6/20,293.410004
11/5/20,294.679993
11/4/20,287.380005
11/3/20,265.299988
11/2/20,261.359985
10/30/20,263.109985
10/29/20,280.829987
10/28/20,267.670013
10/27/20,283.290009
10/26/20,277.109985
10/23/20,284.790009
10/22/20,278.119995
10/21/20,278.730011
10/20/20,267.559998
10/19/20,261.399994
10/16/20,265.929993
10/15/20,266.720001
10/14/20,271.820007
10/13/20,276.140015
10/12/20,275.75
10/9/20,264.450012
10/8/20,263.76001
10/7/20,258.119995
10/6/20,258.660004
10/5/20,264.649994
10/2/20,259.940002
10/1/20,266.630005
9/30/20,261.899994
9/29/20,261.790009
9/28/20,256.820007
9/25/20,254.820007
9/24/20,249.529999
9/23/20,249.020004
9/22/20,254.75
9/21/20,248.149994
9/18/20,252.529999
9/17/20,254.820007
9/16/20,263.519989
9/15/20,272.420013
9/14/20,266.149994
9/11/20,266.609985
9/10/20,268.089996
9/9/20,273.720001
9/8/20,271.160004
9/4/20,282.730011
9/3/20,291.119995
9/2/20,302.5
9/1/20,295.440002
8/31/20,293.200012
8/28/20,293.660004
8/27/20,293.220001
8/26/20,303.910004
8/25/20,280.820007
8/24/20,271.390015
8/21/20,267.01001
8/20/20,269.01001
8/19/20,262.589996
8/18/20,262.339996
8/17/20,261.160004
8/14/20,261.23999
8/13/20,261.299988
8/12/20,259.890015
8/11/20,256.130005
8/10/20,263
8/7/20,268.440002
8/6/20,265.279999
8/5/20,249.119995
8/4/20,249.830002
8/3/20,251.960007
7/31/20,253.669998
7/30/20,234.5
7/29/20,233.289993
7/28/20,230.119995
7/27/20,233.5
7/24/20,230.710007
7/23/20,232.600006
7/22/20,239.869995
7/21/20,241.75
7/20/20,245.419998
7/17/20,242.029999
7/16/20,240.929993
7/15/20,240.279999
7/14/20,239.729996
7/13/20,239
7/10/20,245.070007
7/9/20,244.5
7/8/20,243.580002
7/7/20,240.860001
7/6/20,240.279999
7/2/20,233.419998
7/1/20,237.550003
6/30/20,227.070007
6/29/20,220.639999
6/26/20,216.080002
6/25/20,235.679993
6/24/20,234.020004
6/23/20,242.240005
6/22/20,239.220001
6/19/20,238.789993
6/18/20,235.940002
6/17/20,235.529999
6/16/20,235.649994
6/15/20,232.5
6/12/20,228.580002
6/11/20,224.429993
6/10/20,236.729996
6/9/20,238.669998
6/8/20,231.399994
6/5/20,230.770004
6/4/20,226.289993
6/3/20,230.160004
6/2/20,232.720001
6/1/20,231.910004
5/29/20,225.089996
5/28/20,225.460007
5/27/20,229.139999
5/26/20,232.199997
5/22/20,234.910004
5/21/20,231.389999
5/20/20,229.970001
5/19/20,216.880005
5/18/20,213.190002
5/15/20,210.880005
5/14/20,206.809998
5/13/20,205.100006
5/12/20,210.100006
5/11/20,213.179993
5/8/20,212.350006
5/7/20,211.259995
5/6/20,208.470001
5/5/20,207.070007
5/4/20,205.259995
5/1/20,202.270004
4/30/20,204.710007
4/29/20,194.190002
4/28/20,182.910004
4/27/20,187.5
4/24/20,190.070007
4/23/20,185.130005
4/22/20,182.279999
4/21/20,170.800003
4/20/20,178.240005
4/17/20,179.240005
4/16/20,176.25
4/15/20,176.970001
4/14/20,178.169998
4/13/20,174.789993
4/9/20,175.190002
4/8/20,174.279999
4/7/20,168.830002
4/6/20,165.550003
4/3/20,154.179993
4/2/20,158.190002
4/1/20,159.600006
3/31/20,166.800003
3/30/20,165.949997
3/27/20,156.789993
3/26/20,163.339996
3/25/20,156.210007
3/24/20,160.979996
3/23/20,148.100006
3/20/20,149.729996
3/19/20,153.130005
3/18/20,146.960007
3/17/20,149.419998
3/16/20,146.009995
3/13/20,170.279999
3/12/20,154.470001
3/11/20,170.240005
3/10/20,178.190002
3/9/20,169.5
3/6/20,181.089996
3/5/20,185.169998
3/4/20,191.759995
3/3/20,185.889999
3/2/20,196.440002
2/28/20,192.470001
2/27/20,189.75
2/26/20,197.199997
2/25/20,196.770004
2/24/20,200.720001
2/21/20,210.179993
2/20/20,214.580002
2/19/20,217.490005
2/18/20,217.800003
2/14/20,214.179993
2/13/20,213.139999
2/12/20,210.759995
2/11/20,207.190002
2/10/20,213.059998
2/7/20,212.330002
2/6/20,210.850006
2/5/20,210.110001
2/4/20,209.830002
2/3/20,204.190002
1/31/20,201.910004
1/30/20,209.529999
1/29/20,223.229996
1/28/20,217.789993
1/27/20,214.869995
1/24/20,217.940002
1/23/20,219.759995
1/22/20,221.320007
1/21/20,221.440002
1/17/20,222.139999
1/16/20,221.770004
1/15/20,221.149994
1/14/20,219.059998
1/13/20,221.910004
1/10/20,218.059998
1/9/20,218.300003
1/8/20,215.220001
1/7/20,213.059998
1/6/20,212.600006
1/3/20,208.669998
1/2/20,209.779999
12/31/19,205.25
12/30/19,204.410004
12/27/19,208.100006
12/26/19,207.789993
12/24/19,205.119995
12/23/19,206.179993
12/20/19,206.300003
12/19/19,206.059998
12/18/19,202.5
12/17/19,198.389999
12/16/19,197.919998
12/13/19,194.110001
12/12/19,196.75
12/11/19,202.259995
12/10/19,200.869995
12/9/19,201.339996
12/6/19,201.050003
12/5/19,199.360001
12/4/19,198.710007
12/3/19,198.820007
12/2/19,199.699997
11/29/19,201.639999
11/27/19,202
11/26/19,198.970001
11/25/19,199.789993
11/22/19,198.820007
11/21/19,197.929993
11/20/19,197.509995
11/19/19,199.320007
11/18/19,197.399994
11/15/19,195.100006
11/14/19,193.149994
11/13/19,193.190002
11/12/19,194.470001
11/11/19,189.610001
11/8/19,190.839996
11/7/19,190.419998
11/6/19,191.550003
11/5/19,194.320007
11/4/19,194.720001
11/1/19,193.619995
10/31/19,191.649994
10/30/19,188.25
10/29/19,189.309998
10/28/19,189.399994
10/25/19,187.889999
10/24/19,186.380005
10/23/19,186.149994
10/22/19,182.339996
10/21/19,189.759995
10/18/19,185.850006
10/17/19,190.389999
10/16/19,189.550003
10/15/19,188.889999
10/14/19,183.279999
10/11/19,184.190002
10/10/19,180.029999
10/9/19,179.850006
10/8/19,177.75
10/7/19,179.679993
10/4/19,180.449997
10/3/19,179.380005
10/2/19,174.600006
10/1/19,175.809998
9/30/19,178.080002
9/27/19,177.100006
9/26/19,180.110001
9/25/19,182.800003
9/24/19,181.279999
9/23/19,186.820007
9/20/19,189.929993
9/19/19,190.139999
9/18/19,188.139999
